# https://raw.githubusercontent.com/thoughtspot/ts-it-public/refs/heads/main/ts_security_greynoise_ip.txt

5.2.69.50/32        #  ITS-16365     ; Added on 2022-01-24
5.2.70.140/32       #  ITS-16365     ; Added on 2022-01-24
5.2.70.192/32       #  ITS-16365     ; Added on 2022-01-24
5.2.70.223/32       #  ITS-16365     ; Added on 2022-01-24
5.2.72.73/32        #  ITS-16365     ; Added on 2022-01-24
5.2.72.110/32       #  ITS-16365     ; Added on 2022-01-24
5.2.72.124/32       #  ITS-16365     ; Added on 2022-01-24
5.2.76.221/32       #  ITS-16365     ; Added on 2022-01-24
5.182.36.0/22       #  INC0019077    ; Added on 2024-08-29
5.182.210.155/32    #  ITS-16365     ; Added on 2022-01-24
5.182.210.216/32    #  ITS-16365     ; Added on 2022-01-24
5.183.209.135/32    #  ITS-16365     ; Added on 2022-01-24
5.188.210.227/32    #  INC0011060    ; Added on 2023-02-06
5.199.143.202/32    #  ITS-16365     ; Added on 2022-01-24
5.253.43.68/32      #  INC0019077    ; Added on 2024-07-23
5.255.96.0/19       #  INC0016583    ; Added on 2024-03-19
18.27.197.252/32    #  ITS-16365     ; Added on 2022-01-24
23.120.182.121/32   #  ITS-16365     ; Added on 2022-01-24
23.129.64.0/24      #  INC0015465    ; Added on 2023-12-27
23.130.104.0/24     #  INC0021182    ; Added on 2024-11-25
23.154.177.2/32     #  ITS-16365     ; Added on 2022-01-24
23.154.177.3/32     #  ITS-16365     ; Added on 2022-01-24
23.154.177.4/32     #  ITS-16365     ; Added on 2022-01-24
23.154.177.5/32     #  ITS-16365     ; Added on 2022-01-24
23.154.177.7/32     #  ITS-16365     ; Added on 2022-01-24
23.190.144.0/24     #  INC0015465    ; Added on 2023-12-27
23.236.146.162/32   #  ITS-16365     ; Added on 2022-01-24
31.42.185.24/32     #  ITS-16365     ; Added on 2022-01-24
31.42.186.101/32    #  ITS-16365     ; Added on 2022-01-24
31.184.236.97/32    #  INC0015465    ; Added on 2023-12-27
31.210.20.110/32    #  ITS-16365     ; Added on 2022-01-24
37.120.208.0/21     #  INC0021182    ; Added on 2024-11-25
37.123.163.58/32    #  ITS-16365     ; Added on 2022-01-24
37.187.96.183/32    #  ITS-16365     ; Added on 2022-01-24
37.187.196.70/32    #  ITS-16365     ; Added on 2022-01-24
37.221.66.128/32    #  ITS-16365     ; Added on 2022-01-24
37.221.126.32/32    #  INC0019077    ; Added on 2024-07-23
37.228.129.5/32     #  ITS-16365     ; Added on 2022-01-24
38.97.116.244/32    #  INC0015465    ; Added on 2023-12-26
39.155.141.16/32    #  INC0012268    ; Added on 2023-05-19
41.77.137.114/32    #  ITS-16365     ; Added on 2022-01-24
45.8.19.0/24        #  INC0021098    ; Added on 2024-11-19
45.12.108.0/22      #  INC0019077    ; Added on 2024-08-28
45.12.112.0/22      #  INC0019077    ; Added on 2024-08-28
45.12.128.0/20      #  INC0019077    ; Added on 2024-08-29
45.12.144.0/22      #  INC0019077    ; Added on 2024-08-28
45.12.149.0/24      #  INC0019077    ; Added on 2024-08-28
45.12.150.0/23      #  INC0019077    ; Added on 2024-08-28
45.12.254.0/24      #  INC0019077    ; Added on 2024-08-28
45.13.104.179/32    #  ITS-16365     ; Added on 2022-01-24
45.14.165.0/24      #  INC0019077    ; Added on 2024-08-28
45.14.244.0/22      #  INC0019077    ; Added on 2024-08-28
45.15.125.0/24      #  INC0019077    ; Added on 2024-08-28
45.15.126.0/23      #  INC0019077    ; Added on 2024-08-28
45.15.128.0/22      #  INC0019077    ; Added on 2024-08-28
45.61.185.125/32    #  ITS-16365     ; Added on 2022-01-24
45.61.187.205/32    #  ITS-16365     ; Added on 2022-01-24
45.61.188.164/32    #  ITS-16365     ; Added on 2022-01-24
45.82.248.0/21      #  INC0019077    ; Added on 2024-08-29
45.83.20.0/22       #  INC0019077    ; Added on 2024-08-29
45.83.128.0/22      #  INC0019077    ; Added on 2024-08-29
45.83.140.0/22      #  INC0019077    ; Added on 2024-08-29
45.87.212.0/22      #  INC0021182    ; Added on 2024-11-25
45.89.52.0/22       #  INC0019077    ; Added on 2024-08-29
45.91.23.0/24       #  INC0021182    ; Added on 2024-11-25
45.128.133.242/32   #  ITS-16365     ; Added on 2022-01-24
45.129.56.200/32    #  ITS-16365     ; Added on 2022-01-24
45.132.115.0/24     #  INC0021182    ; Added on 2024-11-25
45.142.212.0/24     #  INC0019077    ; Added on 2024-08-28
45.142.213.0/24     #  INC0019077    ; Added on 2024-08-28
45.142.215.0/24     #  INC0019077    ; Added on 2024-08-28
45.144.225.119/32   #  ITS-16365     ; Added on 2022-01-24
45.151.99.0/24      #  INC0019077    ; Added on 2024-10-08
45.151.167.11/32    #  ITS-16365     ; Added on 2022-01-24
45.153.160.2/32     #  ITS-16365     ; Added on 2022-01-24
45.153.160.129/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.130/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.131/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.132/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.133/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.134/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.135/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.136/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.138/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.139/32   #  ITS-16365     ; Added on 2022-01-24
45.153.160.140/32   #  ITS-16365     ; Added on 2022-01-24
45.153.229.0/24     #  INC0019077    ; Added on 2024-08-28
45.154.255.147/32   #  ITS-16365     ; Added on 2022-01-24
45.159.251.0/24     #  INC0019077    ; Added on 2024-08-09
46.8.19.241/32      #  INC0011060    ; Added on 2023-02-06
46.166.139.111/32   #  ITS-16365     ; Added on 2022-01-24
